,energy,atten_length,trans_fract,atten_fract,distribution
549,27550,0.12191159065662131,0.00027392245285141675,0.9997260775471486,3298096.8159446768
550,27600,0.12253920101713171,0.00028567555072286113,0.9997143244492771,3298096.8159446768
551,27650,0.12316891083592091,0.00029784661882460516,0.9997021533811754,3294593.6603448335
552,27700,0.12380072305100584,0.0003104470352454917,0.9996895529647545,3266015.285714528
553,27750,0.12443464059523497,0.0003234883695358894,0.9996765116304641,3237436.9110842226
554,27800,0.1250706663962708,0.0003369823826475276,0.9996630176173524,3208858.536453917
555,27850,0.12570880337657517,0.0003509410267892584,0.9996490589732108,3180280.1618236117
556,27900,0.1263490544533914,0.00036537644519819823,0.9996346235548018,3151701.7871933086
557,27950,0.12699142253872883,0.0003803009718260208,0.9996196990281739,3150964.2807512344
558,28000,0.1276359105393468,0.00039572713094004235,0.99960427286906,3150964.2807512344
559,28050,0.12828252135673676,0.000411667636638842,0.9995883323633612,3150964.2807512344
560,28100,0.1289312578871066,0.0004281353922823586,0.9995718646077176,3150964.2807512344
561,28150,0.12958212302136646,0.000445143489836354,0.9995548565101636,3150964.2807512344
562,28200,0.13023511964510884,0.00046270520913103556,0.999537294790869,3127726.776790943
563,28250,0.13089025063859494,0.0004808340170341633,0.9995191659829659,3099587.611839026
564,28300,0.13154751887673885,0.000499543566538549,0.9995004564334614,3071448.44688711
565,28350,0.13220692722908778,0.0005188476957640315,0.999481152304236,3043309.2819351936
566,28400,0.13286847855981038,0.0005387604268745075,0.9994612395731255,3015170.1169832796
567,28450,0.13353217572767748,0.0005592959649098489,0.9994407040350901,3006092.9669987885
568,28500,0.13419802158604766,0.0005804686965334295,0.9994195313034666,3006092.9669987885
569,28550,0.13486601898284853,0.0006022931886953747,0.9993977068113046,3006092.9669987885
570,28600,0.135536170760565,0.0006247841872123866,0.9993752158127877,3006092.9669987885
571,28650,0.1362084797562185,0.0006479566152641329,0.9993520433847358,3006092.9669987885
572,28700,0.1368829488013544,0.000671825571807371,0.9993281744281927,2991412.372737687
573,28750,0.13755958072202415,0.000696406329907983,0.999303593670092,2963662.4689514576
574,28800,0.1382383783387685,0.0007217143349918542,0.9992782856650081,2935912.565165228
575,28850,0.13891934446660475,0.0007477652030154515,0.9992522347969846,2908162.6613790006
576,28900,0.13960248191500757,0.0007745747185565369,0.9992254252814434,2880412.757592771
577,28950,0.14028779348789294,0.0008021588328262138,0.9991978411671738,2863225.7204090403
578,29000,0.14097528198360557,0.0008305336616032657,0.9991694663383968,2863225.7204090403
579,29050,0.1416649501948992,0.000859715483091318,0.9991402845169087,2863225.7204090403
580,29100,0.14235680090892186,0.0008897207357003137,0.9991102792642997,2863225.7204090403
581,29150,0.1430508369072016,0.0009205660157532068,0.9990794339842468,2863225.7204090403
582,29200,0.14374706096562961,0.0009522680751188371,0.9990477319248812,2856866.788152313
583,29250,0.14444547585444142,0.000984843818772156,0.9990151561812278,2829488.0520469565
584,29300,0.14514608433820675,0.0010183103022834929,0.9989816896977165,2802109.3159415997
585,29350,0.1458488891758091,0.0010526847292372386,0.9989473152707627,2774730.579836245
586,29400,0.1465538931204312,0.001087984448581952,0.9989120155514181,2747351.843730889
587,29450,0.14726109891954037,0.0011242269519129734,0.9988757730480871,2722269.388718238
588,29500,0.14797050931487313,0.0011614298706888238,0.9988385701293112,2722269.388718238
589,29550,0.14868212704241493,0.0011996109733826057,0.9988003890266174,2722269.388718238
590,29600,0.14939595483239074,0.0012387881625706113,0.9987612118374294,2722269.388718238
591,29650,0.15011199540924602,0.0012789794719585944,0.9987210205280415,2722269.388718238
592,29700,0.15083025149163035,0.0013202030633477659,0.9986797969366522,2722269.388718238
593,29750,0.1515507257923841,0.0013624772235421296,0.9986375227764579,2697010.1825892995
594,29800,0.15227342101852093,0.001405820361198284,0.9985941796388017,2670008.9622445717
595,29850,0.1529983398712137,0.0014502510036197105,0.9985497489963803,2643007.7418998457
596,29900,0.15372548504577804,0.0014957877934967914,0.9985042122065032,2616006.521555118
597,29950,0.1544548592316561,0.0015424494855943924,0.9984575505144057,2589005.30121039
598,30000,0.15518646511240347,0.0015902549433887932,0.9984097450566112,2583256.6542982855
599,30050,0.15592058073288487,0.0016392417028649635,0.998360758297135,2583256.6542982855
600,30100,0.15665694358079274,0.0016894117458590614,0.998310588254141,2583256.6542982855
601,30150,0.15739554833687164,0.0017407837380862177,0.9982592162619138,2583256.6542982855
602,30200,0.15813639769595503,0.001793376970004072,0.998206623029996,2583256.6542982855
603,30250,0.15887949434707674,0.0018472108236466365,0.9981527891763534,2566275.6032836586
604,30300,0.15962484097345442,0.0019023047689912392,0.9980976952310088,2539689.109270861
605,30350,0.16037244025247535,0.0019586783602868183,0.9980413216397132,2513102.6152580613
606,30400,0.16112229485567722,0.002016351232344712,0.9979836487676553,2486516.1212452617
607,30450,0.16187440744873224,0.0020753430967944183,0.9979246569032055,2459929.627232462
608,30500,0.162628780691433,0.002135673738305964,0.9978643262616941,2446379.0915743243
609,30550,0.1633854172376739,0.002197363010780238,0.9978026369892198,2446379.0915743243
610,30600,0.16414431973543586,0.0022604308335096466,0.9977395691664903,2446379.0915743243
611,30650,0.16490549082676967,0.002324897187310607,0.9976751028126893,2446379.0915743243
612,30700,0.16566893314778092,0.0023907821106298453,0.9976092178893702,2446379.0915743243
613,30750,0.16643464932861082,0.002458105695625888,0.9975418943043741,2437408.6840836774
614,30800,0.16720264199342388,0.002526888084228478,0.9974731119157715,2411174.473497825
615,30850,0.16797291376038723,0.0025971494641764065,0.9974028505358236,2384940.2629119707
616,30900,0.16874546724166048,0.0026689100650372183,0.9973310899349628,2358706.0523261162
617,30950,0.16952030504337304,0.0027421901542085403,0.9972578098457915,2332471.841740262
618,31000,0.17029742976561327,0.002817010032905041,0.997182989967095,2311315.220300056
619,31050,0.17107684400240752,0.0028933900321307577,0.9971066099678693,2311315.220300056
620,31100,0.1718585503417086,0.00297135050864044,0.9970286494913596,2311315.220300056
621,31150,0.17264255136537865,0.0030509118408902497,0.9969490881591098,2311315.220300056
622,31200,0.17342884964916908,0.003132094424979776,0.9968679055750203,2311315.220300056
623,31250,0.1742174477627113,0.0032149186705885268,0.9967850813294115,2310147.0745811854
624,31300,0.17500834826949302,0.0032994049969060704,0.9967005950030939,2284280.9908061908
625,31350,0.17580155372685113,0.0033855738285607654,0.9966144261714392,2258414.907031194
626,31400,0.1765970666859476,0.0034734455915452064,0.9965265544084548,2232548.8232561974
627,31450,0.17739488969175812,0.0035630407091433083,0.9964369592908567,2206682.739481201
628,31500,0.17819502528305428,0.003654379597858577,0.9963456204021415,2180816.6557062045
629,31550,0.1789974759923898,0.003747482663346437,0.9962525173366535,2178146.6083487845
630,31600,0.17980224434608166,0.003842370296351156,0.9961576297036489,2178146.6083487845
631,31650,0.1806093328641987,0.003939062868650513,0.9960609371313495,2178146.6083487845
632,31700,0.18141874406053912,0.004037580729007561,0.9959624192709925,2178146.6083487845
633,31750,0.18223048044262188,0.004137944199134047,0.995862055800866,2178146.6083487845
634,31800,0.18304454451166732,0.004240173569664177,0.9957598264303358,2159045.998713537
635,31850,0.18386093876257947,0.004344289096141604,0.9956557109038584,2133523.632390575
636,31900,0.18467966568393485,0.004450310995021919,0.9955496890049781,2108001.2660676134
637,31950,0.18550072775796503,0.0045582594396904276,0.9954417405603095,2082478.899744651
638,32000,0.1863241274605386,0.004668154556497456,0.9953318454435025,2056956.5334216892
639,32050,0.18714986726114835,0.004780016420813327,0.9952199835791866,2046747.5868925035
640,32100,0.18797794962289646,0.004893865053103566,0.9951061349468965,2046747.5868925035
641,32150,0.18880837700247416,0.005009720415025129,0.9949902795849749,2046747.5868925035
642,32200,0.18964115185015218,0.00512760240554733,0.9948723975944527,2046747.5868925035
643,32250,0.19047627660976021,0.005247530857095785,0.9947524691429042,2046747.5868925035
644,32300,0.19131375371867473,0.005369525531723359,0.9946304744682767,2035386.203341035
645,32350,0.19215358560780327,0.005493606117307759,0.9945063938826922,2010228.8540484938
646,32400,0.19299577470156604,0.0056197922237770795,0.9943802077762229,1985071.5047559526
647,32450,0.1938403234178833,0.005748103379365846,0.9942518966206342,1959914.1554634117
648,32500,0.1946872341681599,0.005878559026901419,0.9941214409730986,1934756.8061708705
649,32550,0.19553650935726852,0.006011178520122204,0.9939888214798778,1917227.8144057444
650,32600,0.19638815138353416,0.006145981120029143,0.9938540188799708,1917227.8144057444
651,32650,0.1972421626387226,0.006282985991272091,0.9937170140087279,1917227.8144057444
652,32700,0.1980985455080189,0.006422212198569903,0.9935777878014301,1917227.8144057444
653,32750,0.19895730237001766,0.006563678703168793,0.9934363212968312,1917227.8144057444
654,32800,0.19981843559670542,0.006707404359336815,0.9932925956406632,1913374.041100363
655,32850,0.2006819475534449,0.006853407910896951,0.993146592089103,1888485.0885030986
656,32900,0.20154784059895964,0.007001707987799766,0.9929982920122002,1863596.1359058341
657,32950,0.2024161170853235,0.0071523231027369825,0.992847676897263,1838707.18330857
658,33000,0.20328677935793749,0.007305271647794221,0.9926947283522057,1813818.2307113055
659,33050,0.2041598297555235,0.007460571891148616,0.9925394281088514,1789089.8520017648
660,33100,0.20503527061010043,0.007618241973806312,0.9923817580261937,1789089.8520017648
661,33150,0.2059131042469768,0.007778299906386535,0.9922217000936134,1789089.8520017648
662,33200,0.206793332984731,0.00794076356594796,0.992059236434052,1789089.8520017648
663,33250,0.20767595913520004,0.008105650692861885,0.9918943493071382,1789089.8520017648
664,33300,0.20856098500346035,0.008272978887729881,0.9917270211122701,1789089.8520017648
665,33350,0.20944841288781424,0.008442765608349103,0.9915572343916509,1767952.8750709966
666,33400,0.21033824507977994,0.008615028166725705,0.9913849718332743,1743319.5560915268
667,33450,0.21123048386406848,0.008789783726133564,0.9912102162738664,1718686.2371120604
668,33500,0.21212513151857545,0.008967049298224535,0.9910329507017754,1694052.9181325939
669,33550,0.21302219031436256,0.009146841740185718,0.9908531582598142,1669419.599153124
670,33600,0.21392166251564612,0.009329177751947925,0.990670822248052,1662267.990417149
671,33650,0.21482355037977777,0.00951407387344256,0.9904859261265574,1662267.990417149
672,33700,0.215727856157236,0.009701546481911549,0.9902984535180884,1662267.990417149
673,33750,0.21663458209160474,0.009891611789265637,0.9901083882107343,1662267.990417149
674,33800,0.21754373041956288,0.01008428583949652,0.9899157141605035,1662267.990417149
675,33850,0.2184553033708707,0.010279584506140246,0.9897204154938598,1648574.0635955015
676,33900,0.21936930316835238,0.01047752348979221,0.9895224765102077,1624176.837648891
677,33950,0.2202857320278816,0.010678118315675444,0.9893218816843246,1599779.6117022806
678,34000,0.22120459215836916,0.010881384331262189,0.9891186156687378,1575382.3857556665
679,34050,0.2221258857617461,0.011087336703947981,0.988912663296052,1550985.159809056
680,34100,0.22304961503295448,0.011295990418780854,0.9887040095812192,1536661.6271565268
681,34150,0.2239757821599248,0.011507360276241366,0.9884926397237587,1536661.6271565268
682,34200,0.2249043893235682,0.011721460890079924,0.98827853910992,1536661.6271565268
683,34250,0.2258354386977611,0.011938306685206623,0.9880616933147934,1536661.6271565268
684,34300,0.22676893244932644,0.012157911895634602,0.9878420881043654,1536661.6271565268
685,34350,0.2277048727380245,0.012380290562480098,0.9876197094375199,1530256.5277924188
686,34400,0.22864326171654067,0.012605456532016432,0.9873945434679836,1506042.127757374
687,34450,0.2295841015304623,0.012833423453780069,0.98716657654622,1481827.7277223256
688,34500,0.23052739431827288,0.01306420477873549,0.9869357952212645,1457613.3276872807
689,34550,0.23147314221133397,0.013297813757491953,0.986702186242508,1433398.927652232
690,34600,0.23242134733387307,0.01353426343857656,0.9864657365614234,1411996.522459965
691,34650,0.23337201180296882,0.013773566666761373,0.9862264333332387,1411996.522459965
692,34700,0.23432513772853666,0.014015736081445447,0.9859842639185545,1411996.522459965
693,34750,0.235280727213315,0.014260784115091657,0.9857392158849083,1411996.522459965
694,34800,0.23623878235285267,0.014508722991718705,0.9854912770082813,1411996.522459965
695,34850,0.2371993052354914,0.01475956472544611,0.9852404352745538,1411996.522459965
696,34900,0.23816229794235638,0.015013321119095998,0.984986678880904,1388634.5621996985
697,34950,0.23912776254734083,0.015270003762847519,0.9847299962371525,1364493.8699307572
698,35000,0.24009570111709033,0.015529624032945409,0.9844703759670546,1340353.1776618124
699,35050,0.24106611571099423,0.01579219309046441,0.9842078069095356,1316212.485392871
700,35100,0.2420390083811636,0.01605772188012395,0.983942278119876,1292071.7931239263
701,35150,0.24301438117242571,0.016326221129160833,0.9836737788708392,1287710.893875343
702,35200,0.24399223612230678,0.01659770134625212,0.9834022986537478,1287710.893875343
703,35250,0.24497257526101887,0.01687217282049234,0.9831278271795076,1287710.893875343
704,35300,0.24595540061144547,0.017149645620423166,0.9828503543795768,1287710.893875343
705,35350,0.24694071418912864,0.01743012959311619,0.9825698704068838,1287710.893875343
706,35400,0.2479285180022568,0.017713634363308077,0.9822863656366919,1271527.880652556
707,35450,0.24891881405165062,0.018000169332587343,0.9819998306674127,1247408.9667147424
708,35500,0.24991160433074877,0.018289743678632654,0.9817102563213673,1223290.0527769323
709,35550,0.25090689082559314,0.018582366354502423,0.9814176336454976,1199171.1388391189
710,35600,0.25190467551482076,0.01887804608797722,0.9811219539120228,1175052.2249013088
711,35650,0.25290496036964455,0.01917679138094967,0.9808232086190504,1163537.3885697066
712,35700,0.25390774735384564,0.019478610508868,0.980521389491132,1163537.3885697066
713,35750,0.2549130384237553,0.01978351152022628,0.9802164884797737,1163537.3885697066
714,35800,0.25592083552824546,0.020091502236106763,0.9799084977638932,1163537.3885697066
715,35850,0.25693114060871103,0.020402590249768805,0.9795974097502312,1163537.3885697066
716,35900,0.25794395559906264,0.020716782926289524,0.9792832170737105,1154480.378128336
717,35950,0.25895928242571176,0.02103408740225033,0.9789659125977497,1130276.2985005348
718,36000,0.2599771230075545,0.02135451058547078,0.9786454894145292,1106072.21887273
719,36050,0.260997479255961,0.021678059154791398,0.9783219408452086,1081868.1392449287
720,36100,0.26202035307476335,0.02200473955990287,0.9779952604400971,1057664.059617124
721,36150,0.26304574636024275,0.0223345580212214,0.9776654419787786,1038925.4173246315
722,36200,0.2640736610011155,0.02266752052980925,0.9773324794701908,1038925.4173246315
723,36250,0.26510409887851893,0.023003632847340905,0.9769963671526591,1038925.4173246315
724,36300,0.26613706186600355,0.023342900506115937,0.976657099493884,1038925.4173246315
725,36350,0.2671725518295137,0.023685328809112394,0.9763146711908877,1038925.4173246315
726,36400,0.2682105706273807,0.024030922830088043,0.975969077169912,1037036.0800589289
727,36450,0.26925112011030733,0.024379687413722262,0.9756203125862777,1012632.1403769043
728,36500,0.2702942021213551,0.024731627175801206,0.9752683728241988,988228.2006948831
729,36550,0.27133981849593597,0.025086746503447,0.974913253496553,963824.2610128584
730,36600,0.27238797106178997,0.025445049555383452,0.9745549504446166,939420.3213308372
731,36650,0.2734386616389873,0.025806540262251525,0.9741934597377485,915016.3816488124
732,36700,0.27449189203990115,0.026171222326955026,0.973828777673045,913284.4891552498
733,36750,0.27554766406920533,0.026539099225054867,0.9734609007749452,913284.4891552498
734,36800,0.2766059795238601,0.02691017420519871,0.9730898257948013,913284.4891552498
735,36850,0.2776668401930932,0.027284450289587567,0.9727155497104124,913284.4891552498
736,36900,0.2787302478584008,0.027661930274487736,0.9723380697255123,913284.4891552498
737,36950,0.27979620429352037,0.028042616730770527,0.9719573832692294,893951.6447959323
738,37000,0.28086471126442963,0.02842651200449808,0.9715734879955019,869186.430947215
739,37050,0.2819357705293309,0.028813618217540585,0.9711863817824594,844421.2170985013
740,37100,0.28300938383863755,0.029203937268230236,0.9707960627317698,819656.0032497839
741,37150,0.2840855529349638,0.029597470832051418,0.9704025291679486,794890.7894010701
742,37200,0.2851642795531099,0.02999422036236408,0.9700057796376359,785783.58172767
743,37250,0.2862455654200586,0.030394187091165214,0.9696058129088347,785783.58172767
744,37300,0.2873294122549496,0.03079737202987592,0.9692026279701241,785783.58172767
745,37350,0.2884158217690814,0.03120377597017115,0.9687962240298289,785783.58172767
746,37400,0.28950479566589193,0.03161339948483414,0.9683866005151659,785783.58172767
747,37450,0.2905963356409466,0.03202624292864519,0.9679737570713548,773570.1045890587
748,37500,0.2916904433819319,0.03244230643930348,0.9675576935606965,748328.9185025959
749,37550,0.29278712056863787,0.03286158993837538,0.9671384100616246,723087.7324161294
750,37600,0.29388636887295083,0.033284093132276295,0.9667159068677237,697846.5463296666
751,37650,0.2949881899588378,0.03370981551327879,0.9662901844867212,672605.3602432002
752,37700,0.2960925854823412,0.03413875636055306,0.9658612436394469,655832.1849728402
753,37750,0.29719955709155865,0.03457091474123003,0.9654290852587699,655832.1849728402
754,37800,0.2983091064266408,0.03500628951149857,0.9649937104885015,655832.1849728402
755,37850,0.29942123511977314,0.0354448793177235,0.9645551206822764,655832.1849728402
756,37900,0.30053594479516915,0.035886682597594304,0.9641133174024057,655832.1849728402
757,37950,0.3016532370690572,0.03633169758129689,0.9636683024187032,651006.1587362989
758,38000,0.302773113549667,0.036779922292710314,0.9632200777072897,625211.8805754599
759,38050,0.3038955758372246,0.03723135455063132,0.9627686454493687,599417.6024146246
760,38100,0.3050206255239325,0.037685991970016895,0.9623140080299831,573623.3242537857
761,38150,0.3061482641939693,0.03814383196325775,0.9618561680367422,547829.0460929505
762,38200,0.30727849342346913,0.038604871741466464,0.9613951282585336,523033.2561189832
763,38250,0.308411314780515,0.03906910831579341,0.9609308916842065,523033.2561189832
764,38300,0.3095467298251303,0.039536538498763305,0.9604634615012367,523033.2561189832
765,38350,0.31068474010926284,0.040007158905629704,0.9599928410943703,523033.2561189832
766,38400,0.31182534717677746,0.04048096595575348,0.9595190340442465,523033.2561189832
767,38450,0.3129685525634414,0.040957955873997844,0.9590420441260021,523033.2561189832
768,38500,0.3141143577969207,0.04143812469214753,0.9585618753078524,499523.7226668226
769,38550,0.31526276439676176,0.04192146825034006,0.95807853174966,473118.0872676522
770,38600,0.3164137738743888,0.042407982198522036,0.957592017801478,446712.45186848566
771,38650,0.3175673877330817,0.04289766199791466,0.9571023380020853,420306.81646931526
772,38700,0.31872360746797973,0.04339050292250699,0.956609497077493,393901.1810701487
773,38750,0.31988243456605814,0.043886500060554307,0.9561134999394457,387086.82354778145
774,38800,0.321043870506129,0.04438564831610279,0.9556143516838972,387086.82354778145
775,38850,0.32220791675881943,0.04488794241051936,0.9551120575894806,387086.82354778145
776,38900,0.3233745747865731,0.0453933768840471,0.9546066231159529,387086.82354778145
777,38950,0.32454384604363096,0.04590194609736521,0.9540980539026348,387086.82354778145
778,39000,0.3257157319760252,0.046413644233169044,0.9535863557668309,371028.59152154106
779,39050,0.3268902340215651,0.04692846529775937,0.9530715347022406,343973.96147733333
780,39100,0.3280673536098351,0.04744640312265009,0.9525535968773499,316919.3314331217
781,39150,0.3292470921621759,0.047967451366180434,0.9520325486338196,289864.70138891396
782,39200,0.3304294510916805,0.04849160351514547,0.9515083964848545,262810.0713447023
783,39250,0.3316144318031801,0.04901885288643346,0.9509811471135665,247799.11532017382
784,39300,0.3328020356932373,0.049549192628676846,0.9504508073713231,247799.11532017382
785,39350,0.3339922641501348,0.05008261572391183,0.9499173842760882,247799.11532017382
786,39400,0.33518511855386357,0.05061911498924706,0.9493808850107529,247799.11532017382
787,39450,0.336380600276121,0.05115868307854611,0.9488413169214539,247799.11532017382
788,39500,0.3375787106802886,0.05170131248410986,0.9482986875158901,239247.58340281583
789,39550,0.3387794511214348,0.052246995538377736,0.9477530044616223,210432.63889866509
790,39600,0.33998282294629645,0.052795724415628006,0.947204275584372,181617.69439451856
791,39650,0.34118882749327617,0.05334749113369197,0.946652508866308,152802.74989036785
792,39700,0.34239746609242944,0.05390228755567069,0.9460977124443293,123987.80538622136
793,39750,0.3436087400654487,0.05446010539165666,0.9455398946083433,99448.62684075173
794,39800,0.3448226507256701,0.055020936200472007,0.944979063799528,99448.62684075173
795,39850,0.34603919937804767,0.05558477139139734,0.9444152286086026,99448.62684075173
796,39900,0.34725838731915315,0.0561516022259173,0.9438483977740827,99448.62684075173
797,39950,0.3484802158371671,0.05672141981946698,0.943278580180533,99448.62684075173
798,40000,0.34970466834249253,0.05729420677141303,0.9427057932285869,99448.62684075173
